country,state,date,variable,generation_gwh,share_of_generation_pct,emissions_ktco2,share_of_emissions_pct
Türkiye,Adana,2018-12-01,Coal,1226.23,65.89,1005.51,97.75
Türkiye,Adana,2018-12-01,Gas,12.5,0.67,6.12,0.59
Türkiye,Adana,2018-12-01,Geothermal,0,0,0,0
Türkiye,Adana,2018-12-01,Hydro,606.59,32.59,14.56,1.42
Türkiye,Adana,2018-12-01,Other Fossil,0,0,0,0
Türkiye,Adana,2018-12-01,Solar,6.22,0.33,0.3,0.03
Türkiye,Adana,2018-12-01,Wind,0,0,0,0
Türkiye,Adana,2019-01-01,Bioenergy,9.54,0.5,2.19,0.31
Türkiye,Adana,2019-01-01,Coal,816.78,43.04,669.76,95.22
Türkiye,Adana,2019-01-01,Gas,11.87,0.63,5.82,0.83
Türkiye,Adana,2019-01-01,Geothermal,0,0,0,0
Türkiye,Adana,2019-01-01,Hydro,1051.27,55.4,25.23,3.59
Türkiye,Adana,2019-01-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-01-01,Solar,8.13,0.43,0.39,0.06
Türkiye,Adana,2019-01-01,Wind,0,0,0,0
Türkiye,Adana,2019-02-01,Bioenergy,8.14,0.41,1.87,0.21
Türkiye,Adana,2019-02-01,Coal,1031.81,52.4,846.08,96.6
Türkiye,Adana,2019-02-01,Gas,11.61,0.59,5.69,0.65
Türkiye,Adana,2019-02-01,Geothermal,0,0,0,0
Türkiye,Adana,2019-02-01,Hydro,907.21,46.07,21.77,2.49
Türkiye,Adana,2019-02-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-02-01,Solar,10.26,0.52,0.49,0.06
Türkiye,Adana,2019-02-01,Wind,0,0,0,0
Türkiye,Adana,2019-03-01,Bioenergy,8.76,0.56,2.01,0.37
Türkiye,Adana,2019-03-01,Coal,631.35,40.04,517.71,94.38
Türkiye,Adana,2019-03-01,Gas,12.87,0.82,6.31,1.15
Türkiye,Adana,2019-03-01,Geothermal,0,0,0,0
Türkiye,Adana,2019-03-01,Hydro,910.17,57.72,21.84,3.98
Türkiye,Adana,2019-03-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-03-01,Solar,13.65,0.87,0.66,0.12
Türkiye,Adana,2019-03-01,Wind,0,0,0,0
Türkiye,Adana,2019-04-01,Bioenergy,8.09,0.53,1.86,0.46
Türkiye,Adana,2019-04-01,Coal,452.97,29.75,371.44,92
Türkiye,Adana,2019-04-01,Gas,9.84,0.65,4.82,1.19
Türkiye,Adana,2019-04-01,Geothermal,0,0,0,0
Türkiye,Adana,2019-04-01,Hydro,1036.35,68.07,24.87,6.16
Türkiye,Adana,2019-04-01,Other Fossil,0,0,0,0
Türkiye,Adana,2019-04-01,Solar,15.12,0.99,0.73,0.18
Türkiye,Adana,2019-04-01,Wind,0,0,0,0
Türkiye,Adana,2019-05-01,Bioenergy,8.79,0.83,2.02,0.76
Türkiye,Adana,2019-05-01,Coal,291.67,27.63,239.17,90.06
Türkiye,Adana,2019-05-01,Gas,12.47,1.18,6.11,2.3
Türkiye,Adana,2019-05-01,Geothermal,0,0,0,0
